4,5,30,33,41,52,0,17,2016
9,37,39,41,43,49,1,65,4488
10,11,29,30,36,47,2,62,4261
1,5,6,27,42,59,0,39,3311
1,2,6,16,19,46,0,98,5399
7,13,19,22,40,47,0,109,7147
3,5,20,21,38,56,0,100,5736
4,17,37,38,47,53,0,60,5262
8,43,54,55,56,60,0,17,2175
4,18,21,25,38,57,0,251,12590
15,25,37,38,58,59,1,148,9442
4,16,19,20,27,43,0,108,6454
18,32,47,50,54,56,0,43,2934
2,16,23,27,47,53,0,85,5323
12,33,35,51,52,60,0,57,3931
20,32,34,49,58,60,0,31,3250
6,10,13,19,20,51,1,144,9376
23,27,36,37,42,56,0,52,4484
5,10,12,24,25,60,0,159,9250
11,25,28,30,33,51,0,72,5728
6,33,36,46,49,53,0,63,5030
1,9,31,38,46,56,0,47,4865
17,37,39,51,52,59,0,74,4897
1,8,14,28,33,43,1,227,13486
24,43,50,54,55,56,0,28,2741
10,22,50,53,57,58,0,16,1823
13,17,20,33,44,51,0,99,6466
3,6,22,24,54,60,0,50,4895
3,8,14,43,56,58,1,44,5248
7,14,15,29,38,50,0,80,5885
17,19,28,45,48,56,0,103,5680
5,14,33,36,43,44,0,96,6876
5,17,33,39,42,49,1,128,8722
13,15,17,40,53,57,0,51,2627
4,16,21,23,54,57,0,39,3576
3,13,17,25,29,51,0,143,8548
6,7,22,38,52,60,0,47,3695
10,42,43,45,54,55,0,24,1999
12,16,37,45,52,56,0,73,4444
3,5,8,12,46,47,0,189,12117
12,26,35,38,39,47,1,148,10182
7,11,19,24,33,36,0,201,9580
2,6,17,25,26,58,0,75,5070
14,18,29,38,44,47,0,103,7742
7,30,37,44,53,55,0,33,3004
1,23,24,32,46,60,0,91,6263
3,17,25,35,48,56,0,210,10873
2,5,28,34,47,50,0,132,7454
7,13,33,35,43,55,1,155,9830
6,16,21,44,57,58,0,31,2800
17,23,24,25,42,47,0,143,9361
15,30,38,46,58,59,0,77,6442
3,13,16,38,42,46,0,210,10941
5,9,18,21,36,56,2,207,13067
2,14,23,29,38,52,0,66,3840
2,7,20,35,51,59,0,48,2599
7,16,17,27,34,59,0,79,6173
12,27,30,37,44,49,1,65,5040
2,8,13,28,34,54,0,90,5351
3,14,15,20,21,38,0,129,7914
8,18,29,42,44,59,0,52,3866
6,8,13,24,31,52,0,119,8613
9,25,26,40,41,49,1,82,6359
8,12,23,50,54,60,0,29,2441
1,5,20,25,32,34,0,61,4932
12,13,15,26,33,48,0,102,7686
12,14,17,27,47,52,0,83,5479
1,3,12,13,53,59,0,49,4758
25,34,45,53,56,58,0,55,3661
17,23,27,40,43,58,0,95,6071
16,27,33,43,45,53,0,115,7430
1,19,34,43,44,48,0,85,7982
25,26,28,45,51,57,1,95,8222
2,24,34,37,38,50,0,40,3321
21,24,35,36,37,49,0,70,5032
8,17,18,23,33,53,0,92,6399
21,29,40,49,54,57,0,20,2635
12,22,25,31,32,46,0,103,5984
2,13,17,25,31,43,1,247,13375
23,28,37,40,48,51,0,43,4284
10,23,41,47,54,60,0,62,4870
15,18,29,36,51,53,1,77,5889
4,15,16,24,42,57,0,76,4756
4,6,10,25,34,40,0,102,5546
6,15,30,37,45,47,0,45,4312
6,21,22,34,36,54,0,48,3752
4,5,11,28,32,40,0,64,5195
4,18,29,37,43,45,0,110,6805
13,34,42,44,55,59,0,36,3847
9,21,26,40,52,54,1,74,4763
2,4,10,35,39,60,0,68,3878
1,3,5,23,24,51,0,75,5530
2,22,28,31,36,53,0,61,3795
8,18,28,51,52,55,0,25,2086
6,40,45,46,50,60,0,22,2185
4,7,26,40,42,58,1,62,3984
5,11,14,35,53,56,1,56,3441
13,14,31,33,35,43,0,89,4972
11,24,30,33,46,60,0,46,3015
14,29,30,46,48,51,0,56,3600
1,18,29,31,37,39,0,52,4653
19,20,37,42,44,56,1,73,6197
1,7,9,49,54,57,1,28,2632
1,4,13,21,38,52,0,37,2588
3,13,31,43,46,49,0,55,4875
5,16,24,35,38,39,0,94,5390
2,4,16,24,51,52,0,35,3554
21,24,29,34,59,60,0,35,2453
1,13,44,48,49,54,0,39,3881
18,31,43,52,57,58,0,35,3212
4,22,25,32,33,52,0,68,6109
12,20,34,37,42,43,1,137,8340
7,26,28,34,54,55,0,38,2572
6,12,18,37,47,54,0,71,4908
4,6,14,20,24,38,0,78,5091
5,13,32,36,42,51,0,64,5270
20,25,27,33,42,53,0,36,3822
9,22,25,37,56,57,0,53,4342
1,21,36,38,47,50,0,21,2691
3,16,27,40,45,46,0,92,7073
2,29,41,44,53,55,0,45,4554
11,17,20,39,43,53,0,83,7203
13,14,16,26,32,42,0,176,13159
5,15,34,41,52,57,1,188,14019
25,41,47,53,56,59,0,46,2784
6,10,11,28,32,40,0,83,5510
21,29,50,51,54,59,0,40,2613
3,9,18,21,23,43,0,973,11715
1,9,10,32,46,54,0,67,5320
13,29,38,42,49,53,0,155,11403
4,9,17,27,30,44,0,361,21683
7,9,35,41,44,50,0,143,12179
5,6,19,34,39,57,1,431,29264
4,25,32,36,52,60,0,82,4575
21,22,35,40,53,59,0,40,3604
1,17,25,38,45,59,0,126,7403
15,16,19,22,26,49,0,88,6701
5,14,27,37,40,41,0,86,6953
3,13,26,27,41,42,2,179,9401
7,31,41,44,46,55,0,45,4945
10,13,22,41,42,58,0,119,10533
8,15,19,20,54,59,0,162,13991
6,18,20,40,50,53,0,144,10994
8,32,36,44,45,55,1,257,23952
15,16,31,41,43,51,0,71,3389
25,32,34,42,51,60,0,51,4079
6,16,23,24,28,38,1,75,5418
32,35,41,55,58,59,0,15,2322
7,11,20,28,45,48,0,106,6290
12,44,50,52,54,55,0,56,5540
3,16,20,43,52,56,1,152,9869
5,12,15,29,51,58,0,75,5041
2,30,31,42,45,47,0,47,4218
8,10,24,33,45,48,0,144,9252
12,30,32,35,43,44,1,67,4974
17,23,42,49,52,55,0,74,4455
4,13,17,21,41,44,1,134,8894
4,14,17,43,51,58,0,31,3630
9,11,16,35,50,58,1,57,4124
2,13,42,52,54,58,0,74,6132
6,25,30,37,39,41,0,95,6865
21,23,33,38,48,51,0,92,7244
8,27,36,41,53,56,2,146,10793
4,10,14,19,28,44,0,111,8386
10,19,23,35,39,56,2,75,5378
12,13,22,57,59,60,0,47,3371
1,11,28,33,38,48,1,82,4997
2,9,31,35,45,50,0,48,3528
1,13,21,37,51,52,0,65,4489
7,41,46,51,55,58,0,50,6257
4,27,40,43,46,54,1,134,10378
10,14,26,35,36,49,0,64,4592
